,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
52,"('off',)","(72,)","(7800,)","(7,)","(0,)","('on',)","(72,)","(7800,)","(26,)","(0,)",['setHue:26'],1,0.0024247169494628906,371,370
53,"('on',)","(9,)","(6900,)","(0,)","(44,)","('on',)","(2,)","(8200,)","(0,)","(44,)","['setLevel:2', 'setColorTemperature:8200']",2,0.004802227020263672,734,740
54,"('on',)","(36,)","(4700,)","(0,)","(99,)","('on',)","(76,)","(7800,)","(0,)","(24,)","['setSaturation:24', 'setLevel:76', 'setColorTemperature:7800']",3,0.00956106185913086,1466,1480
55,"('off',)","(32,)","(8600,)","(0,)","(11,)","('on',)","(32,)","(8600,)","(0,)","(98,)",['setSaturation:98'],1,0.002428770065307617,370,369
56,"('on',)","(52,)","(2200,)","(0,)","(88,)","('on',)","(85,)","(2200,)","(0,)","(82,)","['setSaturation:82', 'setLevel:85']",2,0.004762887954711914,734,738
57,"('off',)","(64,)","(7400,)","(24,)","(0,)","('on',)","(32,)","(7400,)","(7,)","(0,)","['setLevel:32', 'setHue:7']",2,0.00477910041809082,739,741
58,"('off',)","(27,)","(3200,)","(32,)","(0,)","('on',)","(27,)","(3200,)","(0,)","(47,)",['setSaturation:47'],1,0.0024356842041015625,371,370
59,"('off',)","(29,)","(6900,)","(55,)","(0,)","('on',)","(29,)","(6900,)","(0,)","(98,)",['setSaturation:98'],1,0.0024023056030273438,371,370
60,"('off',)","(47,)","(7900,)","(0,)","(78,)","('on',)","(47,)","(7900,)","(81,)","(0,)",['setHue:81'],1,0.0024116039276123047,370,369
61,"('on',)","(48,)","(6200,)","(33,)","(0,)","('on',)","(44,)","(5100,)","(33,)","(0,)","['setColorTemperature:5100', 'setLevel:44']",2,0.0047838687896728516,736,742
62,"('off',)","(8,)","(6800,)","(0,)","(72,)","('on',)","(8,)","(7600,)","(72,)","(0,)","['setHue:72', 'setColorTemperature:7600']",2,0.004760265350341797,738,740
63,"('on',)","(43,)","(7100,)","(25,)","(0,)","('on',)","(25,)","(7100,)","(25,)","(0,)",['setLevel:25'],1,0.0023963451385498047,369,371
64,"('off',)","(72,)","(8400,)","(0,)","(36,)","('on',)","(72,)","(8400,)","(0,)","(60,)",['setSaturation:60'],1,0.002418041229248047,370,369
65,"('on',)","(23,)","(8300,)","(0,)","(36,)","('on',)","(82,)","(8300,)","(0,)","(53,)","['setLevel:82', 'setSaturation:53']",2,0.007166862487792969,1100,1110
66,"('off',)","(16,)","(4500,)","(0,)","(10,)","('on',)","(16,)","(7600,)","(0,)","(93,)","['setColorTemperature:7600', 'setSaturation:93']",2,0.007140159606933594,1104,1109
67,"('off',)","(47,)","(4600,)","(29,)","(0,)","('on',)","(47,)","(4800,)","(0,)","(47,)","['setSaturation:47', 'setColorTemperature:4800']",2,0.004807233810424805,738,740
68,"('off',)","(79,)","(6900,)","(55,)","(0,)","('on',)","(79,)","(6900,)","(76,)","(0,)",['setHue:76'],1,0.0024449825286865234,371,370
69,"('on',)","(89,)","(3400,)","(0,)","(86,)","('on',)","(41,)","(3400,)","(0,)","(48,)","['setSaturation:48', 'setLevel:41']",2,0.004776477813720703,734,740
70,"('off',)","(68,)","(7100,)","(25,)","(0,)","('on',)","(68,)","(7200,)","(59,)","(0,)","['setColorTemperature:7200', 'setHue:59']",2,0.007256507873535156,1107,1112
71,"('on',)","(43,)","(5500,)","(9,)","(0,)","('on',)","(43,)","(7500,)","(91,)","(0,)","['setColorTemperature:7500', 'setHue:91']",2,0.0071680545806884766,1103,1113
72,"('on',)","(71,)","(7900,)","(0,)","(0,)","('on',)","(18,)","(7900,)","(35,)","(0,)","['setLevel:18', 'setHue:35']",2,0.004782199859619141,736,740
73,"('off',)","(20,)","(8200,)","(63,)","(0,)","('on',)","(60,)","(8200,)","(10,)","(0,)","['setHue:10', 'setLevel:60']",2,0.0048100948333740234,739,741
74,"('on',)","(65,)","(7100,)","(65,)","(0,)","('on',)","(65,)","(6700,)","(22,)","(0,)","['setHue:22', 'setColorTemperature:6700']",2,0.004798412322998047,736,742
75,"('on',)","(95,)","(7400,)","(31,)","(0,)","('on',)","(95,)","(7300,)","(41,)","(0,)","['setColorTemperature:7300', 'setHue:41']",2,0.0047948360443115234,736,742
76,"('off',)","(99,)","(4800,)","(37,)","(0,)","('on',)","(42,)","(2500,)","(37,)","(0,)","['setColorTemperature:2500', 'setLevel:42']",2,0.004825115203857422,739,741
77,"('on',)","(56,)","(2900,)","(0,)","(42,)","('on',)","(56,)","(6900,)","(29,)","(0,)","['setHue:29', 'setColorTemperature:6900']",2,0.004770994186401367,735,741
78,"('on',)","(50,)","(3800,)","(11,)","(0,)","('on',)","(50,)","(6100,)","(45,)","(0,)","['setColorTemperature:6100', 'setHue:45']",2,0.00715327262878418,1103,1113
