,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)",cmds,length,time,memory_num,visited_num
77,"(0, 13)","('on',)","(52,)","(6300,)","(56, 0)","('on',)","(75,)","(7200,)","[('setColorTemperature>1', 7200), ('setHue>1', 56), ('setLevel', 75)]",3,0.014436006546020508,76,185
78,"(0, 75)","('off',)","(71,)","(7700,)","(0, 5)","('off',)","(40,)","(5500,)","[('on', None), ('setColorTemperature>1', 5500), ('setSaturation>1', 5), ('setLevel', 40), ('off', None)]",5,0.0175631046295166,107,184
79,"(76, 0)","('on',)","(2,)","(2700,)","(0, 75)","('on',)","(13,)","(5500,)","[('setColorTemperature>1', 5500), ('setSaturation>1', 75), ('setLevel', 13)]",3,0.023365259170532227,176,226
80,"(0, 95)","('on',)","(67,)","(3600,)","(0, 47)","('off',)","(87,)","(6500,)","[('setColorTemperature>1', 6500), ('setSaturation>1', 47), ('setLevel', 87), ('off', None)]",4,0.02538752555847168,149,282
81,"(0, 54)","('off',)","(11,)","(6100,)","(2, 0)","('off',)","(33,)","(6400,)","[('on', None), ('setColorTemperature>1', 6400), ('setHue>1', 2), ('setLevel', 33), ('off', None)]",5,0.005921363830566406,43,82
82,"(3, 0)","('off',)","(23,)","(8900,)","(79, 0)","('on',)","(40,)","(8300,)","[('on', None), ('setColorTemperature>1', 8300), ('setHue>1', 79), ('setLevel', 40)]",4,0.015559911727905273,80,185
83,"(57, 0)","('off',)","(98,)","(5800,)","(0, 6)","('off',)","(1,)","(5200,)","[('on', None), ('setColorTemperature>1', 5200), ('setSaturation>1', 6), ('setLevel', 1), ('off', None)]",5,0.014893054962158203,107,143
84,"(0, 66)","('on',)","(51,)","(8900,)","(89, 0)","('off',)","(46,)","(2400,)","[('setColorTemperature>1', 2400), ('setHue>1', 89), ('setLevel', 46), ('off', None)]",4,0.013709068298339844,91,141
85,"(83, 0)","('off',)","(45,)","(4400,)","(56, 0)","('off',)","(98,)","(3700,)","[('on', None), ('setColorTemperature>1', 3700), ('setHue>1', 56), ('setLevel', 98), ('off', None)]",5,0.014319658279418945,99,174
86,"(65, 0)","('on',)","(27,)","(3400,)","(21, 0)","('off',)","(5,)","(7900,)","[('setColorTemperature>1', 7900), ('setHue>1', 21), ('setLevel', 5), ('off', None)]",4,0.007089376449584961,58,87
87,"(35, 0)","('on',)","(80,)","(5500,)","(0, 21)","('off',)","(21,)","(4700,)","[('setColorTemperature>1', 4700), ('setSaturation>1', 21), ('setLevel', 21), ('off', None)]",4,0.017632007598876953,122,172
88,"(34, 0)","('off',)","(1,)","(4200,)","(74, 0)","('on',)","(9,)","(8500,)","[('on', None), ('setColorTemperature>1', 8500), ('setHue>1', 74), ('setLevel', 9)]",4,0.013786792755126953,75,151
89,"(0, 84)","('off',)","(9,)","(5000,)","(0, 47)","('on',)","(24,)","(5000,)","[('on', None), ('setSaturation>1', 47), ('setLevel', 24)]",3,0.018934965133666992,149,177
90,"(50, 0)","('on',)","(71,)","(6200,)","(0, 90)","('on',)","(97,)","(3600,)","[('setColorTemperature>1', 3600), ('setSaturation>1', 90), ('setLevel', 97)]",3,0.02972412109375,191,306
91,"(0, 10)","('on',)","(82,)","(2200,)","(70, 0)","('off',)","(72,)","(7800,)","[('setColorTemperature>1', 7800), ('setHue>1', 70), ('setLevel', 72), ('off', None)]",4,0.01668381690979004,74,202
92,"(0, 82)","('on',)","(73,)","(7700,)","(67, 0)","('off',)","(71,)","(3900,)","[('setColorTemperature>1', 3900), ('setHue>1', 67), ('setLevel', 71), ('off', None)]",4,0.01365208625793457,73,159
93,"(13, 0)","('on',)","(4,)","(3400,)","(0, 88)","('on',)","(22,)","(3300,)","[('setColorTemperature>1', 3300), ('setSaturation>1', 88), ('setLevel', 22)]",3,0.024951934814453125,189,226
94,"(0, 82)","('off',)","(43,)","(2400,)","(0, 85)","('off',)","(22,)","(3500,)","[('on', None), ('setColorTemperature>1', 3500), ('setSaturation>1', 85), ('setLevel', 22), ('off', None)]",5,0.02426314353942871,186,226
95,"(0, 86)","('off',)","(78,)","(2700,)","(23, 0)","('on',)","(95,)","(7400,)","[('on', None), ('setColorTemperature>1', 7400), ('setHue>1', 23), ('setLevel', 95)]",4,0.011998176574707031,96,175
96,"(58, 0)","('off',)","(100,)","(7600,)","(84, 0)","('on',)","(26,)","(7300,)","[('on', None), ('setColorTemperature>1', 7300), ('setHue>1', 84), ('setLevel', 26)]",4,0.01512598991394043,85,166
97,"(0, 52)","('off',)","(78,)","(7100,)","(12, 0)","('on',)","(42,)","(5600,)","[('on', None), ('setColorTemperature>1', 5600), ('setHue>1', 12), ('setLevel', 42)]",4,0.0066373348236083984,44,93
98,"(57, 0)","('on',)","(77,)","(5100,)","(1, 0)","('off',)","(73,)","(3300,)","[('setColorTemperature>1', 3300), ('setHue>1', 1), ('setLevel', 73), ('off', None)]",4,0.0061321258544921875,75,89
99,"(0, 60)","('off',)","(23,)","(8600,)","(0, 13)","('off',)","(23,)","(2900,)","[('on', None), ('setColorTemperature>1', 2900), ('setSaturation>1', 13), ('off', None)]",4,0.014432907104492188,115,126
