,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)",cmds,length,time,memory_num,visited_num
43,"(839, 'digitalTv')","('muted',)","(95,)","('on',)","(0, 'digitalTv')","('muted',)","(87,)","('off',)","[('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 87), ('setMute', 'muted'), ('off', None)]",5,0.0069239139556884766,89,93
44,"(0, 'HDMI2')","('muted',)","(21,)","('off',)","(0, 'digitalTv')","('muted',)","(33,)","('on',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 33), ('setMute', 'muted')]",6,0.004194498062133789,34,42
45,"(833, 'digitalTv')","('unmuted',)","(0,)","('off',)","(0, 'HDMI2')","('unmuted',)","(79,)","('off',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 79), ('off', None)]",4,0.013097763061523438,80,119
46,"(0, 'HDMI2')","('muted',)","(74,)","('on',)","(675, 'digitalTv')","('unmuted',)","(84,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 675), ('setMute', 'unmuted'), ('setVolume>0', 84), ('off', None)]",5,0.011184453964233398,85,114
47,"(0, 'digitalTv')","('muted',)","(22,)","('off',)","(831, 'digitalTv')","('muted',)","(85,)","('off',)","[('on', None), ('setTvChannel>0', 831), ('setMute', 'unmuted'), ('setVolume>0', 85), ('setMute', 'muted'), ('off', None)]",6,0.012273073196411133,86,120
48,"(0, 'HDMI2')","('muted',)","(2,)","('off',)","(0, 'HDMI2')","('unmuted',)","(0,)","('on',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 0)]",3,0.0008816719055175781,2,7
49,"(524, 'digitalTv')","('muted',)","(12,)","('off',)","(0, 'digitalTv')","('muted',)","(68,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 68), ('setMute', 'muted')]",5,0.005601406097412109,69,75
50,"(0, 'digitalTv')","('unmuted',)","(96,)","('off',)","(526, 'digitalTv')","('muted',)","(56,)","('off',)","[('on', None), ('setTvChannel>0', 505), ('setTvChannel>0', 526), ('setVolume>0', 56), ('setMute', 'muted'), ('off', None)]",6,0.014598608016967773,58,109
51,"(0, 'HDMI2')","('muted',)","(29,)","('on',)","(516, 'digitalTv')","('muted',)","(65,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setMute', 'unmuted'), ('setVolume>0', 65), ('setMute', 'muted')]",4,0.005171060562133789,66,71
52,"(835, 'digitalTv')","('unmuted',)","(29,)","('off',)","(0, 'digitalTv')","('unmuted',)","(37,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 37)]",3,0.0032052993774414062,38,42
53,"(0, 'HDMI2')","('unmuted',)","(79,)","('on',)","(839, 'digitalTv')","('unmuted',)","(40,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 839), ('setVolume>0', 40)]",3,0.010240793228149414,42,79
54,"(530, 'digitalTv')","('unmuted',)","(36,)","('off',)","(831, 'digitalTv')","('unmuted',)","(97,)","('off',)","[('on', None), ('setTvChannel>0', 831), ('setVolume>0', 97), ('off', None)]",4,0.012304067611694336,98,130
55,"(0, 'HDMI2')","('muted',)","(49,)","('on',)","(0, 'HDMI2')","('unmuted',)","(39,)","('on',)","[('setMute', 'unmuted'), ('setVolume>0', 39)]",2,0.002913951873779297,41,45
56,"(0, 'HDMI2')","('unmuted',)","(52,)","('on',)","(0, 'HDMI2')","('unmuted',)","(78,)","('on',)","[('setVolume>0', 78)]",1,0.004907846450805664,79,82
57,"(0, 'HDMI2')","('unmuted',)","(3,)","('on',)","(525, 'digitalTv')","('unmuted',)","(29,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 525), ('setVolume>0', 29), ('off', None)]",4,0.005041360855102539,30,44
58,"(0, 'HDMI2')","('muted',)","(81,)","('off',)","(700, 'digitalTv')","('unmuted',)","(11,)","('on',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 700), ('setMute', 'unmuted'), ('setVolume>0', 11)]",5,0.007126331329345703,26,43
59,"(0, 'HDMI2')","('muted',)","(17,)","('off',)","(0, 'HDMI2')","('muted',)","(55,)","('off',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 55), ('setMute', 'muted'), ('off', None)]",5,0.004590034484863281,56,62
60,"(0, 'HDMI2')","('muted',)","(61,)","('off',)","(0, 'digitalTv')","('muted',)","(56,)","('off',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 56), ('setMute', 'muted'), ('off', None)]",7,0.005869388580322266,58,65
61,"(0, 'HDMI2')","('unmuted',)","(4,)","('on',)","(834, 'digitalTv')","('unmuted',)","(46,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 835), ('setVolume>0', 46), ('off', None)]",4,0.010856151580810547,47,84
62,"(518, 'digitalTv')","('muted',)","(11,)","('on',)","(0, 'digitalTv')","('muted',)","(27,)","('on',)","[('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 27), ('setMute', 'muted')]",4,0.002929210662841797,28,33
63,"(0, 'digitalTv')","('unmuted',)","(60,)","('off',)","(0, 'HDMI2')","('unmuted',)","(40,)","('off',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 40), ('off', None)]",4,0.010410070419311523,42,80
64,"(0, 'digitalTv')","('muted',)","(12,)","('off',)","(525, 'digitalTv')","('muted',)","(40,)","('off',)","[('on', None), ('setTvChannel>0', 505), ('setTvChannel>0', 525), ('setMute', 'unmuted'), ('setVolume>0', 40), ('setMute', 'muted'), ('off', None)]",7,0.014223575592041016,41,94
65,"(0, 'digitalTv')","('muted',)","(51,)","('on',)","(580, 'digitalTv')","('muted',)","(71,)","('off',)","[('setTvChannel>0', 580), ('setMute', 'unmuted'), ('setVolume>0', 71), ('setMute', 'muted'), ('off', None)]",5,0.008386850357055664,72,90
